"","all_trips_v2$member_casual","all_trips_v2$day","all_trips_v2$ride_length"
"1","casual","01",3890.28191375241
"2","member","01",819.559361817198
"3","casual","02",3319.32888632849
"4","member","02",921.606708203531
"5","casual","03",3279.58987180348
"6","member","03",842.642662772345
"7","casual","04",3456.14493744835
"8","member","04",807.679682150882
"9","casual","05",3737.53684239795
"10","member","05",823.767463150302
"11","casual","06",3370.08792350863
"12","member","06",825.174472165297
"13","casual","07",3070.70528724557
"14","member","07",810.61349997029
"15","casual","08",3300.27517157624
"16","member","08",898.858697347894
"17","casual","09",4066.49102436789
"18","member","09",880.615699100572
"19","casual","10",3835.82753336965
"20","member","10",805.071212272773
"21","casual","11",3867.61708792859
"22","member","11",778.087895487138
"23","casual","12",4204.51403543699
"24","member","12",766.57743984771
"25","casual","13",3302.27627248962
"26","member","13",835.977860571756
"27","casual","14",3342.71730064097
"28","member","14",840.33901736271
"29","casual","15",4021.13185362927
"30","member","15",849.81451920227
"31","casual","16",4129.65883613952
"32","member","16",875.732426594601
"33","casual","17",2864.18958196542
"34","member","17",759.208735212023
"35","casual","18",3339.48024586518
"36","member","18",795.756802499675
"37","casual","19",3911.78111239861
"38","member","19",934.335854129905
"39","casual","20",3436.89411635886
"40","member","20",803.064484937041
"41","casual","21",3383.16175471515
"42","member","21",918.62027495225
"43","casual","22",3611.84840890547
"44","member","22",978.608037986096
"45","casual","23",3979.52922627543
"46","member","23",823.056714226556
"47","casual","24",3761.85699834778
"48","member","24",810.206945469533
"49","casual","25",3560.53712346203
"50","member","25",929.206991215227
"51","casual","26",3604.51646903821
"52","member","26",882.139576593825
"53","casual","27",3467.5623411491
"54","member","27",896.761483923746
"55","casual","28",3575.15159848745
"56","member","28",926.075295494441
"57","casual","29",3229.97547009494
"58","member","29",808.984939406015
"59","casual","30",3188.28650227125
"60","member","30",868.915298698876
"61","casual","31",3468.18552542043
"62","member","31",855.65700726979
